issue_id,original_issue_id,title,category,evidence,previous_conclusion,corrected_conclusion,severity,status,affected_files,verification_method,notes,phase1_update
V3-032,P1-22,状态文档已脱节,文档,CURRENT_SYSTEM_STATUS vs 代码,文档过时,CONFIRMED,P2,CONFIRMED,00_工程总控/CURRENT_SYSTEM_STATUS.md,读文档,,未在本阶段处理
V3-033,P1-23,L3 复制比例检测过宽,L3 质量,候选正文生成 以 body in source,98.94% 自抄,CONFIRMED,P1,CONFIRMED,候选正文生成.py L126-129,读源码 + 对抗样本,,未在本阶段处理
V3-034,P2-01,公共组件僵尸模块,公共组件,同 P1-15,僵尸,CONFIRMED,P2,CONFIRMED,公共组件/,import 图,,未在本阶段处理
V3-035,P2-02,入口函数过长,可维护性,L1/L2/L3 main 过长,过长,CONFIRMED,P2,CONFIRMED,各运行入口.py,wc -l,,未在本阶段处理
V3-036,P2-03,宽泛 except Exception,错误处理,多处 except Exception,压制错误,NEEDS_MORE_EVIDENCE,P2,NEEDS_MORE_EVIDENCE,多文件,rg 统计,,未在本阶段处理
V3-037,P2-04,Markdown 与 JSON 双真源,规则治理,闸门标准解析,双真源风险,NEEDS_MORE_EVIDENCE,P2,NEEDS_MORE_EVIDENCE,闸门规则加载.py,读规则,,未在本阶段处理
V3-038,P2-05,包版本 0.0.0,发布,pyproject.toml version,无法语义化发布,CONFIRMED,P2,CONFIRMED,pyproject.toml,读文件,,未在本阶段处理
V3-039,P2-06,仓库体积与快照,治理,.venv/运行记录等,体积膨胀,CONFIRMED,P2,CONFIRMED,仓库清单,目录列举,,未在本阶段处理
V3-040,P2-07,测试分层不清,测试,pytest markers,分层弱,NEEDS_MORE_EVIDENCE,P2,NEEDS_MORE_EVIDENCE,pyproject.toml,读配置,,未在本阶段处理
V3-041,P2-08,jsonschema FormatChecker 成本,性能/测试,结构校验 RFC 检查,耗 CPU,NEEDS_MORE_EVIDENCE：本机未瓶颈,P2,NEEDS_MORE_EVIDENCE,jsonschema 依赖,本地 pytest 1.57s,,未在本阶段处理
V3-042,NEW-01,L1-SEM 失败无 L15/L2 路由,L1 路由,gate_rules 无 语义审计 类,语义失败未对齐,MODIFIED：CONTENT_DECISION 仍可按 failure_type 路由；AUDIT_BLOCKER 不得路由,P1,MODIFIED,gate_rules.json; L15交接.py; 失败包生成.py,Phase 1 分拆 + 测试,,2026-06-27
V3-043,NEW-02,L1-03 SCREENING_PASS 易被误读为终态,文档/输出,旧对抗脚本止于 L1-03,易误读,MODIFIED：词面闸 HEURISTIC_DIAGNOSTIC；终态由 L1-SEM + 护栏决定,P2,VERIFIED_CLOSED,L1_03; L1运行入口; 20_L1_闸门层,Phase 1 文档 + 测试,,2026-06-27
V3-044,NEW-03,L3 diff/变更摘要未实现,L3 协议,L3-00 第7 vs 代码,设计未落地,CONFIRMED 设计未落地,P2,CONFIRMED,L3-00; 输出生成.py,读设计对照,,未在本阶段处理
V3-P1-001,PHASE1-01,词面规则参与最终裁决,L1 决策权,L1-01/02/03 曾产出 error 并进入失败包,词面可决定 SCREENING_REJECT,Phase 1：词面仅 DIAGNOSTIC；终态由 L1-SEM + HARD_GUARD,P0,VERIFIED_CLOSED,L1_01~03; L1决策角色.py; L1运行入口.py,51 项测试 + tag 9f13877,冻结 l1-phase1-freeze-20260627,2026-06-27
V3-P1-002,PHASE1-02,API 失败被当成正文失败,L1 故障隔离,旧聚合：API error → SCREENING_REJECT,DeepSeek 超时等同正文差,Phase 1：AUDIT_BLOCKED + audit_blockers 分离,P0,VERIFIED_CLOSED,L1决策角色.py; L1_语义审计.py; L1报告.py,test_api_unavailable_audit_blocked; 组合态矩阵,不得路由 L2,2026-06-27
V3-P1-003,PHASE1-03,AUDIT_BLOCKER 进入正文失败包,L1 产物,失败包 blocking=true 全收,API 错误进入 failure_packet,Phase 1：分拆 failure_packet / audit_blockers,P0,VERIFIED_CLOSED,失败包生成.py; 失败包结构.json; 审计阻断项结构.json,test_split_failure_packet_excludes_audit_blockers,,2026-06-27
V3-P1-004,PHASE1-04,HARD_GUARD 被 API 阻断遮蔽,L1 优先级,旧聚合先判 AUDIT_BLOCKER,20 字正文 + API 超时 → AUDIT_BLOCKED,Phase 1：HARD_GUARD 优先；另记 semantic_audit_status,P0,VERIFIED_CLOSED,L1决策角色.py,test_guard_fail_and_api_blocked_prefers_reject_with_semantic_flag,,2026-06-27
V3-P1-005,PHASE1-05,L1-SEM 证据协议质量,L1 语义协议,语义证据校验.py 仅 quote 子串匹配,证据协议偏弱,决策架构已修复 ≠ 证据协议已验收,P1,PHASE2_OPEN,L1_语义审计.py; 语义证据校验.py,FakeClient 测试通过; 无真实章节集,进入 L1 Phase 2,Phase 2
V3-P1-006,PHASE1-06,L1 语义诊断真实准确率,L1 业务效果,51 项测试验证工程状态,DeepSeek 判断正确,NEEDS_REAL_DATA：需真实语料 + 人工一致率,P0,NEEDS_REAL_DATA,L1_语义审计.py; tests/,pytest 通过不代表语义准确,最薄弱剩余假设,Phase 2
